keys,fr
" or cancel to keep your hand"," ou annuler pour garder votre main"
"+1 ATK","+1 ATQ"
"+1 Boost Card & overkill","+1 Carte de Boost et Déferlement"
"+1 Boost Card","+1 Carte de Boost"
"+1 THW","+1 CTR"
"+2 ATK & Overkill","+2 ATQ & Déferlement"
"+2 ATK","+2 ATQ"
"+2 Attack","+2 Attaque"
"+2 THW","+2 CTR"
"+2 Thwart","+2 Contre"
"+3 ATK","+3 ATQ"
"+3 THW","+3 CTR"
"+4 ATK","+4 ATQ"
"+4 Attack","+4 Attaque"
"+X ATK","+X ATQ"
"1 Damage on Avengers Tower","1 dégât sur la Tour des Avengers"
"1 Damage","1 dégât"
"1 Threat on Main Scheme","1 menace sur la manigance principale"
"1 Threat","1 menace"
"2 Damage","2 dégâts"
"2 Damage, 2 Damage","2 dégâts, 2 dégâts"
"2 Damage, 2 Threat","2 dégâts, 2 menaces"
"2 Indirect Damage","2 dégâts indirects"
"2 Power counters on Phoenix Force","2 Jetons Pouvoir sur Force Phénix"
"2 Threat","2 menaces"
"2 Threat, 2 Damage","2 menaces, 2 dégâts"
"2 Threat, 2 Threat","2 menaces, 2 menaces"
"3 Damage","3 dégâts"
"3 Threat","3 menaces"
"5 Damage","5 dégâts"
"5 Threat","5 menaces"
"6 Damage","6 dégâts"
"Accelerate","Placer 1 Accélération"
"Acceleration","Accélération"
"Add Ammo","Ajouter Munitions"
"Add Power Counters","Placer 2 Jetons de Pouvoir"
"Add Threat","Ajouter de la menace"
"Add threat","Ajouter de la menace"
"Add to Owner's hand","Ajouter à la main du propriétaire"
"All","Tout"
"Attack & Reload","Attaquer & Recharger"
"Attack","Attaquer"
"Attack, Stun & Confuse","Attaquer, Sonner et Désorienter"
"BTN_BACK_TO_MAIN_MENU","RETOUR AU MENU"
"Balance the Scales","Équilibrer la Balance"
"Battle Mage","Mage de Bataille"
"Black Order Attack","L'Ordre Noir attaque"
"Boost increase","Augmentation du Boost"
"Cancel","Annuler"
"Change Form (Alter-Ego)","Changer de forme (Alter-Ego)"
"Change Form (Giant)","Changer de forme (Géant)"
"Change Form (Tiny)","Changer de forme (Minuscule)"
"Change Form","Changer de Forme"
"Charge 1","Charger 1"
"Charge 2","Charger 2"
"Charge 3","Charger 3"
"Charge De Card","Charger une Carte"
"Child Prodigy (1 mental)","Enfant Prodige (1 mentale)"
"Child Prodigy (2 resources)","Enfant Prodige (2 ressources)"
"Child Prodigy","Enfant Prodige"
"Confuse a character","Désorienter un Personnage"
"Confuse highest THW Character","Désorienter le Personnage avec le plus de CTR"
"Confuse the Villain","Désorienter le Méchant"
"Confused --> Stunned","Désorienté --> Sonné"
"Confused --> Tough","Désorienté --> Tenace"
"Confused","Désorienté"
"Cybernetically Enhanced","Cybernétiquement Modifié"
"DON'T Change Form","Ne pas changer de forme"
"Damage Friendly Character","Dégâts à un Personnage ami"
"Damage all enemies","Dégâts à tous les ennemis"
"Damage","Dégâts"
"Deal 1 Damage to Morlock","Infliger 1 dégât à Morlock"
